# Slice: BestEffort | 10.215.173.1: -> 112.217.128.203: (RTCP)
# offset_sec  packet_size_bytes
0.000 64
9.000 64
42.000 64
92.000 64
156.000 64
173.000 64
212.000 64
243.000 64
331.000 64
345.000 64
360.000 64
371.000 64
390.000 64
400.000 64
425.000 64
427.000 64
437.000 64
481.000 64
625.000 64
697.000 64
788.000 64
824.000 64
838.000 64
975.000 64
1021.000 64
1063.000 64
1219.000 64
1279.000 64
1406.000 64
1440.000 64
1554.000 64
1583.000 64
1629.000 64
1731.000 64
1760.000 64
1792.000 64
1868.000 64
1883.000 64
1921.000 64
1966.000 64
1991.000 64
2145.000 64
2175.000 64
2186.000 64
2341.000 64
2375.000 64
2477.000 64
2536.000 64
2628.000 64
2720.000 64
2848.000 64
2877.000 64
2886.000 64
2896.000 64
2913.000 64
2933.000 64
2972.000 64
2992.000 64
3072.000 64
3161.000 64
3262.000 64
3362.000 64
3482.000 64
3597.000 64
3602.000 64
3658.000 64
3691.000 64
3786.000 64
3833.000 64
3876.000 64
3891.000 64
3900.000 64
3915.000 64
3920.000 64
3927.000 128
3962.000 64
4011.000 64
4023.000 64
4024.000 64
4036.000 64
4046.000 64
4060.000 64
4074.000 64
4123.000 64
4174.000 64
4226.000 64
4247.000 64
4255.000 64
4348.000 64
4431.000 64
4477.000 64
4493.000 64
4581.000 64
4600.000 64
4627.000 64
4660.000 64
