# Slice: BestEffort | 10.215.173.1: -> 112.217.128.200: (RTCP)
# offset_sec  packet_size_bytes
0.000 64
69.000 64
81.000 64
90.000 64
175.000 64
237.000 64
243.000 64
247.000 64
277.000 64
296.000 64
341.000 64
350.000 64
387.000 64
461.000 64
507.000 64
563.000 64
715.000 64
817.000 64
893.000 64
1024.000 64
1035.000 64
1090.000 64
1177.000 64
1192.000 64
1238.000 64
1276.000 64
1357.000 64
1437.000 64
1451.000 64
1482.000 64
1620.000 64
1722.000 64
1782.000 64
1882.000 64
1928.000 64
2281.000 64
2345.000 64
2355.000 64
2371.000 64
2376.000 64
2378.000 64
2457.000 64
2467.000 64
2494.000 64
2498.000 64
2539.000 64
2550.000 64
2567.000 64
2568.000 64
2595.000 64
2675.000 64
2680.000 64
2774.000 64
2776.000 64
2804.000 64
2898.000 64
2953.000 64
3038.000 64
3105.000 64
3114.000 64
3132.000 64
3135.000 64
3204.000 64
3256.000 64
3372.000 64
3390.000 64
3454.000 64
3465.000 64
3467.000 64
3492.000 64
3502.000 64
3508.000 64
272673.000 64
272678.000 64
272796.000 64
272798.000 64
272811.000 64
272819.000 64
272926.000 64
272938.000 64
272996.000 64
273278.000 64
273353.000 64
273414.000 64
273431.000 64
273432.000 64
273446.000 64
273471.000 64
273479.000 64
273523.000 64
273546.000 64
273635.000 64
273647.000 64
273675.000 64
273686.000 64
273845.000 64
274098.000 64
274113.000 64
274158.000 64
274261.000 64
274288.000 64
274365.000 64
274412.000 64
274449.000 64
274466.000 64
274497.000 64
274549.000 64
274621.000 64
274662.000 64
274696.000 64
274772.000 64
274834.000 64
274888.000 64
274922.000 64
275073.000 64
275075.000 64
275106.000 64
275187.000 64
275343.000 64
275369.000 64
275396.000 64
275428.000 64
275616.000 64
275629.000 64
275663.000 64
275691.000 64
275719.000 64
275850.000 64
275890.000 64
275972.000 64
276107.000 64
276136.000 64
276215.000 64
276223.000 64
276343.000 64
276444.000 64
276586.000 64
276617.000 64
276651.000 64
276655.000 64
276681.000 64
276690.000 64
276702.000 64
276722.000 64
276755.000 64
276766.000 64
276811.000 64
276891.000 64
276963.000 64
277047.000 64
