# Slice: BestEffort | 10.215.173.1: -> 112.217.128.202: (RTCP)
# offset_sec  packet_size_bytes
0.000 64
15.000 64
171.000 64
212.000 64
237.000 64
268.000 64
273.000 64
312.000 64
330.000 64
458.000 64
462.000 64
641.000 64
650.000 64
655.000 64
678.000 64
806.000 64
832.000 64
955.000 64
982.000 64
992.000 64
1080.000 64
1130.000 64
1221.000 64
1250.000 64
1268.000 64
1294.000 64
1337.000 64
1373.000 64
1382.000 64
1400.000 64
1454.000 64
1491.000 64
1638.000 64
1744.000 64
1751.000 64
1791.000 64
1797.000 64
1901.000 64
1919.000 64
2012.000 64
2013.000 64
2140.000 64
2156.000 64
2282.000 64
2372.000 64
2390.000 64
2412.000 64
2451.000 64
2535.000 64
2567.000 64
2606.000 64
2623.000 64
2681.000 64
2793.000 64
2945.000 64
2973.000 64
3034.000 64
3125.000 64
3242.000 64
3259.000 64
3278.000 64
3294.000 64
3326.000 64
3417.000 64
3435.000 64
3467.000 64
3469.000 64
3527.000 64
3528.000 64
3532.000 64
161537.000 64
161542.000 64
161562.000 64
161634.000 64
161639.000 64
161714.000 64
161723.000 64
161797.000 64
161810.000 64
162020.000 64
162052.000 64
162059.000 64
162100.000 64
162143.000 64
162232.000 64
162256.000 64
162462.000 64
162463.000 64
162479.000 64
162516.000 64
162555.000 64
162622.000 64
162649.000 64
162694.000 64
162781.000 64
162826.000 64
162855.000 64
162892.000 64
162895.000 64
162972.000 64
162980.000 64
163013.000 64
163142.000 64
163160.000 64
163191.000 64
163198.000 64
163239.000 64
163360.000 64
163368.000 64
163421.000 64
163508.000 64
163578.000 64
163753.000 64
163758.000 64
163770.000 64
163778.000 64
163781.000 64
163797.000 64
163846.000 64
163852.000 64
163857.000 64
163881.000 64
163895.000 64
163903.000 64
163956.000 64
163969.000 64
164001.000 64
164026.000 64
164051.000 64
164080.000 64
164091.000 64
164118.000 64
164184.000 64
164220.000 64
164248.000 64
164275.000 64
164290.000 64
164333.000 64
164339.000 64
164527.000 64
164599.000 64
164675.000 64
164692.000 64
164703.000 64
164747.000 64
164779.000 64
164836.000 64
164869.000 64
164973.000 64
164976.000 64
164987.000 64
165056.000 64
165339.000 64
165456.000 64
165502.000 64
165554.000 64
165563.000 64
165575.000 64
165727.000 64
165744.000 64
165833.000 64
165919.000 64
165926.000 64
165969.000 64
166064.000 64
166164.000 64
166182.000 64
166215.000 64
166238.000 64
166246.000 64
166306.000 64
166374.000 64
166451.000 64
166454.000 64
166460.000 64
166479.000 64
166554.000 64
166575.000 64
166590.000 64
166632.000 64
166712.000 64
166714.000 64
166715.000 64
166752.000 64
166763.000 64
166801.000 64
166905.000 64
166959.000 64
166976.000 64
167056.000 64
167074.000 64
167104.000 64
167176.000 64
167280.000 64
167287.000 64
167302.000 64
167455.000 64
250585.000 64
250625.000 64
250642.000 64
250887.000 64
250890.000 64
250954.000 64
250981.000 64
250996.000 64
251013.000 64
251134.000 64
251197.000 64
251202.000 64
251238.000 64
251243.000 64
251512.000 64
251549.000 64
251559.000 64
251645.000 64
251680.000 64
251695.000 64
251733.000 64
251799.000 64
251835.000 64
251838.000 64
251928.000 64
252057.000 64
252058.000 64
252132.000 64
252140.000 64
595605.000 64
595651.000 64
595770.000 64
595863.000 64
595948.000 64
596000.000 64
596022.000 64
596045.000 64
596190.000 64
596251.000 64
596289.000 64
596298.000 64
596335.000 64
596404.000 64
596427.000 64
596448.000 64
596564.000 64
596642.000 64
596695.000 64
596715.000 64
596725.000 64
596737.000 64
596791.000 64
596826.000 64
596840.000 64
596896.000 64
596983.000 64
597019.000 64
597086.000 64
597092.000 64
597287.000 64
597412.000 64
597544.000 64
597599.000 64
597611.000 64
597663.000 64
597676.000 64
597866.000 64
597879.000 64
597901.000 64
597940.000 64
597960.000 64
598023.000 64
598116.000 64
598164.000 64
598307.000 64
598357.000 64
598385.000 64
598395.000 64
598421.000 64
598448.000 64
598723.000 64
598724.000 64
598809.000 64
598832.000 64
598962.000 64
598994.000 64
598996.000 64
599058.000 64
599140.000 64
599342.000 64
599344.000 64
599425.000 64
599474.000 64
599602.000 64
599631.000 64
599727.000 64
599770.000 64
599813.000 64
599940.000 64
599972.000 64
599977.000 64
600028.000 64
600263.000 64
600301.000 64
600305.000 64
600384.000 64
600503.000 64
600509.000 64
600548.000 64
600608.000 64
600695.000 64
600871.000 64
600894.000 64
600992.000 64
601015.000 64
601037.000 64
601057.000 64
601086.000 64
601151.000 64
601184.000 64
601200.000 64
601253.000 64
601264.000 64
601370.000 64
601565.000 64
601588.000 64
601650.000 64
601673.000 64
601688.000 64
601905.000 64
601906.000 64
601920.000 64
601985.000 64
602102.000 64
602225.000 64
602242.000 64
602320.000 64
602361.000 64
602401.000 64
602418.000 64
602451.000 64
602499.000 64
602506.000 64
602588.000 64
602589.000 64
602603.000 64
602636.000 64
602708.000 64
602718.000 64
602811.000 64
602816.000 64
602830.000 64
602995.000 64
603035.000 64
603039.000 64
603049.000 64
603193.000 64
603241.000 64
603376.000 64
603528.000 64
603573.000 64
603644.000 64
603776.000 64
603838.000 64
603862.000 64
603921.000 64
603924.000 64
