# Slice: BestEffort | 10.215.173.1: -> 112.217.128.201: (RTCP)
# offset_sec  packet_size_bytes
0.000 64
122.000 64
221.000 64
264.000 64
336.000 64
471.000 64
477.000 64
482.000 64
630.000 64
727.000 64
777.000 64
890.000 64
892.000 64
915.000 64
929.000 64
935.000 64
959.000 64
964.000 64
968.000 64
981.000 64
1051.000 64
1078.000 64
1079.000 64
1095.000 64
1184.000 64
1189.000 64
1201.000 64
1240.000 64
1322.000 64
1354.000 64
1376.000 64
1389.000 64
1428.000 64
1436.000 64
1476.000 64
1625.000 64
1740.000 64
1775.000 64
1791.000 64
1855.000 64
1942.000 128
1978.000 64
2060.000 64
2071.000 64
2152.000 128
