# Slice: URLLC | 112.217.128.200:18747 -> 10.215.173.1:49006 (UDP)
# offset_sec  packet_size_bytes
0.000000 76
0.020359 76
0.052233 76
0.052387 601
0.052447 345
0.349157 64
0.367909 82
0.399126 82
0.412253 64
0.418941 74
0.428872 64
0.449616 223
0.454467 64
0.459000 64
0.510778 64
0.566648 64
0.619117 64
0.660445 64
0.692947 64
0.724718 64
0.724835 601
0.768953 64
0.774641 345
0.780372 64
0.800731 64
0.824066 64
0.824185 64
0.830187 64
0.847686 64
0.870144 64
0.887255 64
0.901454 64
0.934182 64
0.940003 64
0.940089 64
0.945864 64
0.960055 64
0.980221 64
1.000092 64
1.005873 64
1.012276 64
1.018148 64
1.026172 64
1.050916 64
1.070006 64
1.070081 64
1.095327 64
1.109975 64
1.110049 64
1.116793 64
1.130590 64
1.148367 64
1.161299 64
1.169583 64
1.188097 64
1.212578 64
1.223168 64
1.243085 64
1.243618 64
1.249143 64
1.267696 64
1.278422 64
1.291669 64
1.297285 64
1.329522 64
1.380849 64
1.399817 106
1.400826 64
1.422430 64
1.423331 64
1.433531 64
1.446263 64
1.460566 64
1.486545 64
1.503947 64
1.531709 64
1.535084 64
1.548187 64
1.561860 64
1.565859 64
1.578359 64
1.583631 64
1.596752 64
1.622584 64
1.636849 64
1.655756 64
1.669009 64
1.693509 64
1.705788 64
1.718974 64
1.725217 64
1.732298 64
1.732509 64
1.732590 64
1.755419 64
1.774582 64
1.785583 64
1.785997 64
1.798017 64
1.817413 64
1.838758 64
1.865865 64
1.880239 64
1.892145 64
1.907393 64
1.926741 64
1.933495 64
1.950784 64
1.970125 64
1.982121 64
2.007566 64
2.032167 64
2.041292 64
2.053016 64
2.071874 64
2.085360 64
2.105275 64
2.111114 64
2.145931 64
2.172169 64
2.185347 64
2.185408 64
2.200058 64
2.215049 64
2.241495 64
2.253859 64
2.271902 64
2.290554 64
2.296226 64
2.308338 64
2.320510 64
2.345433 64
2.357370 64
2.365009 64
2.390652 64
2.391188 64
2.405046 64
2.423525 106
2.423652 64
2.435451 64
2.441293 64
2.449982 64
2.470050 64
2.499524 64
2.499701 64
2.502257 64
2.511078 64
2.548621 64
2.566257 64
2.590095 64
2.590167 64
2.610414 64
2.622457 64
2.634981 64
2.647203 64
2.666666 64
2.685380 64
2.693980 64
2.694068 64
2.694095 64
2.704888 64
2.711735 64
2.724872 64
2.737035 64
2.743641 64
2.761640 64
2.779277 64
2.793719 64
2.802982 64
2.810468 64
2.835346 64
2.847484 64
2.867552 64
2.873556 64
2.882206 64
2.899172 64
2.899222 64
2.911194 64
2.917279 64
2.923932 64
2.942564 64
2.951057 64
2.958711 64
2.969927 64
3.014027 64
3.022666 64
3.050476 64
3.097051 64
3.169751 64
3.215443 64
3.227601 64
3.246309 64
3.258884 64
3.286899 64
3.298549 64
3.304480 64
3.310799 64
3.356626 64
3.410408 64
3.423236 106
3.452681 64
3.470068 64
3.499892 64
3.512122 64
3.565430 64
3.613867 64
3.619958 64
3.646441 64
3.667891 64
